taxon_id,call_type,region,season,source_url,creator,license,attribution,quality_status,reference_set_version,embedding_model_version,xc_id,duration
taxon-hypsipetes-amaurotis,call,South Korea,,https://xeno-canto.org/1097342/download,Uku Paal,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Uku Paal via xeno-canto.org (XC1097342), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,1097342,0:49
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/1016816/download,Uku Paal,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Uku Paal via xeno-canto.org (XC1016816), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,1016816,0:04
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/1016616/download,Uku Paal,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Uku Paal via xeno-canto.org (XC1016616), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,1016616,0:07
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/1016606/download,Uku Paal,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Uku Paal via xeno-canto.org (XC1016606), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,1016606,1:34
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/1016083/download,Jerome Chie-Jen Ko,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Jerome Chie-Jen Ko via xeno-canto.org (XC1016083), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,1016083,0:44
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/1012281/download,Jerome Chie-Jen Ko,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Jerome Chie-Jen Ko via xeno-canto.org (XC1012281), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,1012281,1:07
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/1011685/download,Jerome Chie-Jen Ko,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Jerome Chie-Jen Ko via xeno-canto.org (XC1011685), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,1011685,0:10
taxon-hypsipetes-amaurotis,call,China,,https://xeno-canto.org/995377/download,Bo Shunqi 薄顺奇,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Bo Shunqi 薄顺奇 via xeno-canto.org (XC995377), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,995377,1:12
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/993641/download,Xavier Riera,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Xavier Riera via xeno-canto.org (XC993641), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,993641,0:15
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/993638/download,Xavier Riera,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Xavier Riera via xeno-canto.org (XC993638), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,993638,0:26
taxon-hypsipetes-amaurotis,call,China,,https://xeno-canto.org/992555/download,Feather V,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Feather V via xeno-canto.org (XC992555), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,992555,0:16
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/992367/download,Xavier Riera,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Xavier Riera via xeno-canto.org (XC992367), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,992367,0:11
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/915185/download,Uku Paal,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Uku Paal via xeno-canto.org (XC915185), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,915185,0:19
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/915184/download,Uku Paal,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Uku Paal via xeno-canto.org (XC915184), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,915184,0:23
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/897757/download,Barry Edmonston,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Barry Edmonston via xeno-canto.org (XC897757), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,897757,1:17
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/884133/download,Barry Edmonston,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Barry Edmonston via xeno-canto.org (XC884133), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,884133,0:42
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/858057/download,Joshua Chong,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Joshua Chong via xeno-canto.org (XC858057), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,858057,0:03
taxon-hypsipetes-amaurotis,call,China,,https://xeno-canto.org/841475/download,Bo Shunqi 薄顺奇,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Bo Shunqi 薄顺奇 via xeno-canto.org (XC841475), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,841475,0:45
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/834177/download,Geoff Carey,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Geoff Carey via xeno-canto.org (XC834177), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,834177,0:43
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/834176/download,Geoff Carey,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Geoff Carey via xeno-canto.org (XC834176), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,834176,0:25
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/834175/download,Geoff Carey,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Geoff Carey via xeno-canto.org (XC834175), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,834175,1:34
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/834174/download,Geoff Carey,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Geoff Carey via xeno-canto.org (XC834174), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,834174,1:11
taxon-hypsipetes-amaurotis,call,China,,https://xeno-canto.org/802168/download,Ray Tsu 诸仁,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Ray Tsu 诸仁 via xeno-canto.org (XC802168), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,802168,0:42
taxon-hypsipetes-amaurotis,call,Taiwan,,https://xeno-canto.org/797770/download,Chi-Hsuan Shao,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Chi-Hsuan Shao via xeno-canto.org (XC797770), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,797770,0:34
taxon-hypsipetes-amaurotis,call,South Korea,,https://xeno-canto.org/571414/download,Wonseok Jang,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Wonseok Jang via xeno-canto.org (XC571414), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,571414,0:34
taxon-hypsipetes-amaurotis,call,Taiwan,,https://xeno-canto.org/551620/download,Sunny Tseng,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Sunny Tseng via xeno-canto.org (XC551620), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,551620,0:16
taxon-hypsipetes-amaurotis,call,Taiwan,,https://xeno-canto.org/551617/download,Sunny Tseng,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Sunny Tseng via xeno-canto.org (XC551617), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,551617,0:03
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/475534/download,Markus Jacobs,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Markus Jacobs via xeno-canto.org (XC475534), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,475534,0:32
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/470237/download,Rolf A. de By,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Rolf A. de By via xeno-canto.org (XC470237), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,470237,1:08
taxon-hypsipetes-amaurotis,call,Japan,,https://xeno-canto.org/466085/download,Gareth K.,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Gareth K. via xeno-canto.org (XC466085), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,466085,0:05
taxon-hypsipetes-amaurotis,call,South Korea,,https://xeno-canto.org/464613/download,Martin Sutherland,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Martin Sutherland via xeno-canto.org (XC464613), https://creativecommons.org/licenses/by-nc-sa/4.0/",pending,v1,,464613,1:24
